,title,Achievement_rate,amount,people
43,汕真嗨味—潮汕牛肉/牛筋丸 正宗的才好吃,527%,105593.0,780
44,定升/TKST 能外接显卡的笔记本电脑,473%,94777.0,23
45,中草植物萃取精华面膜 修护焕亮熬夜肌,242%,24248.0,371
46,Kingdy京迪—胶原蛋白肽蓝莓饮品,508%,101684.0,513
47,诊前科技—气压多层调节枕 专业助眠枕,148%,74020.0,239
48,酒法师—优净醒酒器 新一代醒酒黑科技,615%,307929.0,605
49,一款防弹级材质玻璃水晶雨蓬—首秀雨蓬,223%,111788.0,1318
50,艾贝尔蟑香 安全强效灭蟑 从此告别蟑小强,108%,21649.6,731
51,智能杀菌净味器  冰箱杀菌保鲜 衣橱净化,110%,11088.0,112
52,一条防静电保暖运动裤,113%,11388.0,112
53,宠物包暖手充电宝 手心里的温暖,108%,10880.0,85
54,节能桌面暖风机 冷暖风 一键切换,112%,11210.0,95
55,阳光小黄鸭恒温速干吹风机  快速干发护发,117%,11778.0,302
56,藏壶天下·顾景舟同款秦权壶经典复刻,292%,29240.0,43
57,多功能可伸缩车载雪铲 全新带灯 日夜可用,125%,12508.0,212
58,独家兰香六雪开始预定  12月中旬发货！,5439%,54393.6,158
59,护发吹风机，快速吹干，深度补水不伤发,110%,11092.0,188
60,可折叠收纳的伸缩式暖风机，180度调节,102%,10228.0,109
61,《狐妖小红娘》涂山苏苏正品手办—糖果甜心,108%,54382.0,84
62,VALOR/威乐—原创国潮女包系列,111%,55944.0,99
63,3D工艺足球  一颗无车缝真圆度的好球,204%,102450.0,535
64,CIROCCO相对论系列产品,100%,302495.0,505
65,太空舱萌熊暖手充电宝 暖手暖腹更暖心,108%,10800.0,100
66,紫氏小康茶—一杯来自中国硒谷的茶,191%,38316.0,101
67,喝豆耶绿豆皮固体饮品 尝原味豆香,509%,101896.0,1872
68,专注力训练测评仪 科学提升专注力,407%,203596.0,242
69,桌面暖风机 这个冬天HOLD住温暖,104%,10488.0,152
70,科瑞朗4K高清投影仪 画面流畅不卡顿,150%,15018.0,11
71,二传测试勿动,200%,0.2,2
72,萌宠夜灯加湿器 纳米雾化 润物细无声,108%,10833.0,157
73,便携式智能红外探测仪  隐私安全守护者,104%,10496.0,82
74,夜灯/暖手/充电宝 小巧便携 礼物优选,114%,11454.0,83
75,蝴清梅多功能衣物除菌神器 精准杀菌更有效,203%,101601.0,743
76,开关式调音圈铁无线蓝牙耳机,108%,54397.0,128
77,手足通络器 S6   有效修复手部损伤,632%,316020.0,535
78,因好—桌面暖风机 你的取暖小神器,238%,119155.0,745
79,儿童就可以学的STEM教育单片机编程套装,1644%,164494.8,417
80,防飞溅精工指甲钳【轻松修剪·优雅从容】,106%,10696.0,162
81,便携式电动冲牙器，优雅剔牙，冲走食物残渣,117%,11710.0,67
82,智能发热保暖围巾，自用舒心，送人暖心,105%,10500.0,96
83,桌面暖风机 告别寒冷 暖透全身,103%,10324.0,116
84,加热暖桌垫 15秒速热 持久恒温,101%,10186.0,93
85,便携式应急电源充气泵 一机在手 出行无忧,215%,107597.0,256
86,金穗乐—禾米酒 富有客家人特色的米酒珍品,1542%,308590.0,1073
87,一定亮复合植物压片  本草护眼 健康护眼,1015%,203080.0,1217
88,汽车划痕修复机 一分钟快速修复各色车漆,149%,14949.0,151
89,【学识优】智能扫读笔 孩子的全能学习帮手,626%,313449.0,435
90,马卡龙色石墨烯艾灸仪 “艾健康“ 爱生活,2006%,1003166.0,2909
91,石墨烯远红外家用静音取暖器  安全取暖,156%,78412.0,234
92,三体·螳螂号飞船模型&主题周边,338%,169233.0,466
93,首发三体自然选择号战舰木质3D立体模型,788%,394398.0,1606
94,电动自行车防爆阻燃器  24小时安全守护,403%,201566.0,1029
95,黔贵玺酱香型白酒—茅台镇的原始酒香,1527%,305462.0,963
96,宏阿驼—纯驼乳粉 天然0添加 纯净原生乳,514%,102998.0,1087
97,自动循环充电翻页激光笔演讲投影多媒体遥控,310%,31046.0,316
98,九彩冰鸾抹茶芒芒蓝莓巧克力甜点 匠心手作,2003%,200354.0,3206
99,马桶智能语音红外感应控制器 自动翻圈翻,3640%,364015.0,1135
100,原生态蜂蜜 天然酿造 甜蜜的味道,103%,20671.0,259
101,手机续航贴充电加快超长待机保护电池防辐射,1276%,638314.0,10653
102,艾方仪—AY小星星艾灸按摩仪 双效合一,206%,103330.0,235
103,多功能证件收纳箱【整洁收纳·结实耐用】,114%,11412.0,99
104,硬汉工兵铲套装，车载·探险·出行·防身,107%,10724.0,38
105,喜羊羊叠叠乐/懒羊羊盲盒众筹,106%,106040.0,551
106,室内迷你桌面暖风机 用心造暖 无惧寒冷,120%,12087.0,153
107,摩飞智能按摩发热围巾 震动按摩 保暖神器,113%,11396.0,44
108,藏壶天下·陈鸣远松段壶经典复刻,168%,16800.0,10
109,萌趣景观 加湿 投影 夜灯 好物三合一,121%,12144.0,88
110,【暖宫神器】按摩暖宫腰带，送礼自用不二之选,108%,10842.0,78
111,超炼——开启全民健身三体时代,1004%,200964.0,6032
112,负氧离子疗养机 全面除醛大空间空气净化器,981%,98185.0,3052
113,宜兴匠心紫砂壶●会升值的【竹叶西施】,917%,9177.0,23
114,一年之香在于冬 凤凰单丛 雪片鸭屎香,1850%,370128.0,1173
115,雪片鸭屎香单丛，茶中香水雪片正当季,359%,35952.0,133
116,仙灵绮梦—仙剑奇侠传×Kamii联名首发,2385%,715768.0,2062
117,She's携手中邮文创，演绎你我心中所爱,123%,12390.0,21
118,She's携手中邮文创，演绎你我心中挚爱,142%,14210.0,17
119,做冰肌美人 用花悦容彩妆套盒,204%,102074.0,453
120,智能出液瓶盖 免接触 更卫生 更便捷,1025%,512768.0,1739
121,2021新茶凤庆古树红茶特级云南滇红金针,155%,15592.0,78
122,无线双控智能调光补光护眼屏幕灯显示器挂灯,679%,135916.0,30263
123,《生肖之家》系列潮玩手办 新国风 新潮流,101%,50734.0,248
124,一款通过亚慢性安全实验的车载空气净化器,609%,304536.0,754
125,锋普触摸液晶一体机、智能会议平板系列,1421%,710583.0,117
126,便携电动鼻毛修剪器,110%,11060.0,140
127,防静电秋冬保暖运动卫衣,122%,12261.0,99
128,华泽肤人舒缓保湿面膜  安全护肤新理念,104%,52013.0,239
129,狮来运转K金翡翠项链 守护你一生最爱的人,1059%,529560.0,212
130,年轻人的柑普茶——新会小青柑,111%,11156.0,57
131,卉苔天猫精灵版香薰机 AI语音控制,103%,10348.0,52
132,迷你便携剃须刀，剃须更快更舒适,118%,11883.0,128
133,智能声控小程序起床闹钟伴睡夜灯 学生礼品,114%,11481.0,129
134,铝合金笔记本电脑支架，高度、角度可调节,140%,14003.0,71
135,卷狼自动收线多功能移动立式排插 收纳方便,112%,22528.0,56
136,家用多功能电烤箱 一机多用烘培精致生活,119%,11926.0,67
137,肤可新去端肽胶原修护喷雾,189%,94647.0,1023
138,多功能养生壶 优雅养生 曼妙时光,129%,12969.0,131
139,雪片单丛|南国雪香，承载一盏时光的茶香,7719%,77196.5,281
140,可以嚼着吃的蜂蜜-蜂巢蜜,127%,12742.0,198
141,循行智能运动健康手表 蓝牙通话体温监测,2069%,20696.0,104
142,智能腰腹部按摩仪，呵护腰腹每一刻,122%,12228.0,56
143,手机平板散热器，不用背夹的降温神器,112%,11257.0,104
144,LVCO赤菟锂电越野助动车 领跑时尚,905%,90556.0,11
145,国画大师罗尊柱 国风寓意 纯手绘国风画,147%,29400.0,3
146,星际熊车载香薰手机支架 汽车空间点睛之笔,104%,10404.0,153
147,陈皮老白茶新会陈皮福鼎白茶,194%,19426.0,114
148,古树普洱老茶头-普洱熟茶,162%,16205.0,75
149,低度酒更健康，酒中贵族--蜂蜜酒,122%,12252.0,82
150,Nerius香薰便携美妆镜 美在每时每刻,2006%,1003228.0,3454
151,一张有百万个支撑点的便携床垫—泰霞床垫,611%,305891.0,206
152,车载空气净化器 除醛祛味 健康清新,105%,63098.0,102
153,【智能系带】旋钮系带爆米花云弹机能跑鞋,148%,14853.0,85
154,天宫筑梦 纪念版茶咖套组,222%,22274.0,43
155,多功能电动辅食器蒜蓉机-下厨好帮手,113%,11391.0,289
156,智能自动感应牙签盒,108%,10831.0,219
157,电动无线多功能打蛋器,102%,10207.0,173
158,wiekurt空气加湿器,110%,11029.0,41
159,便携式智能记录仪  录音录相  保障安全,373%,37380.0,210
160,"玛瑙九眼天珠,工艺之美 藏地圣物",654%,65419.0,281
161,摩飞智能头脸按摩仪 干湿两用 揉捏按摩,107%,10770.0,30
162,自由折叠车载吸尘器 车家两用 小巧又强效,223%,22357.0,283
163,时光灯喷雾器，复古灯设计，生活中的艺术品,101%,10112.0,128
164,TCM—随身健康卡&杀毒口罩防疫组合,104%,52386.0,241
165,碧廷—植物精华墙面霜  将自然芬芳带回家,2030%,1015330.0,2256
166,镁姿精密—智能可视采耳仪  看得见才安全,1011%,505698.0,2225
167,暖腹黑科技 热敷暖宫带,123%,12324.0,78
168,国潮暖暖杯 创意文创国风礼品,115%,11592.0,168
169,藏壶天下·曼生十八式汉瓦壶经典复刻,292%,29240.0,43
170,三合一数据线，一体收纳，一线三用,122%,12200.0,134
171,蜂蜜滋养焕颜蚕丝面膜,101%,10178.0,142
172,高海拔武夷桐木关蜜香金骏眉红茶,157%,15702.0,68
173,福鼎老白茶寿眉龙珠,100%,10020.0,70
174,小茶饼生态乔木头春-易武生茶饼,114%,11438.0,96
175,量子减毒烟盒 降低有害物质 携带方便,108%,21792.0,108
176,一款可以通话听歌的智能时尚眼镜,409%,204629.0,231
177,创洗智能洗涤机  智造国货黑科技,612%,306166.0,197
178,创客家—多功能应急安全锤手电筒,407%,203930.0,903
179,得普达迷你打印机  万物皆可打 随心所印,410%,205030.0,114
180,LIITON珠峰洋酒杯【高密度】,190%,19041.0,19
181,SANRIO 全明星运动会手办盲盒,102%,1534.0,13
182,厨尚皇—纯芝麻油  滴滴好油一口香,514%,102809.2,1843
183,零度枕更舒适 0压力如同睡在云端的感觉,5302%,530271.0,1329
184,《嗨!说呗》更懂你的 AI智能语音键盘,5040%,504060.0,2995
185,智能MINI筋膜枪-深层按摩放松肌肉,128%,12879.0,81
186,防盗防水多功能出行胸包,148%,14850.0,150
187,三合一钥匙扣，万次火柴·钥匙扣·开瓶器,130%,13047.0,170
188,迈睿彩色3D打印笔，让孩子动手去创作,5061%,1012356.0,2098
189,学生午睡枕，舒适助眠，精神一下午,101%,10142.0,109
190,纯料打造十年老普洱，古树茶砖,150%,15014.0,66
191,2021鲜爽秋茶上新季,1578%,15780.0,60
192,无线车载吸尘器 充电大功率 车家两用,104%,10494.0,106
193,桂花红茶，三分桂花香，七分红茶甜,123%,12310.0,103
194,KATROX铠潮势.铠甲勇士发光头像盲盒,131%,131401.0,763
195,彩书国潮文创T恤团体装亲子装秋冬潮款卫衣,155%,77930.0,44
196,宜兴匠心紫砂壶●会升值的【如意仿古】,1047%,10479.0,21
197,无线便携式料理机 辅食 打蛋 绞肉 果汁,100%,10098.0,102
198,孝知味 猴菇植物肉干 呵护您的胃,101%,20331.2,1019
199,智能恒温暖杯垫 让温暖更有安全感,115%,11570.0,130
200,笔记本手机平板电脑充电宝 蓝牙音响二合一,508%,50815.0,95
201,绿克宁隐形防护“手套”  防疫护手新模式,404%,202114.0,2921
202,躺平青年的穿衣指南——棉麻国风衬衫,137%,6858.0,42
203,5.5°保暖新科技-自发热羊毛打底衣,103%,10350.0,100
204,好锦木棉—抗菌功能塑形枕 专为婴幼儿设计,2003%,1001606.0,3457
205,滕庄主 鲜摘现榨百香果果汁饮料,119%,23872.0,172
206,非人哉-动物系列第二弹毛绒盲盒,144%,28845.0,226
207,智能即热饮水机 3秒即热 烧水不用等,107%,10707.0,43
208,多功能硬汉兵工铲 ，一铲在手·出行无忧,156%,15663.0,57
209,2021年新茶猴魁绿茶,187%,18785.0,145
210,三合一数据线，伸缩收纳，小巧便携,158%,15889.0,248
211,黑科技全生物自然降解环保运动鞋 裸足体验,5055%,505509.0,3821
212,笔记本电脑支架 折叠收纳 双重调节,162%,16268.0,166
213,芈菟—冬己佳人系列手办人偶  匠心原创,603%,301853.0,899
214,剑网3 门派系列盲盒第①弹众筹,764%,382190.0,2374
215,“最安星”一键通智能车载充电器,6213%,3106532.0,5964
216,摩飞智能眼部按摩仪  眼眸清澈 光芒万丈,101%,10121.0,29
217,时光旋转喵喵灯，红外遥控时钟显示三色调光,105%,10513.0,196
218,地澈天清山河令官方联名睡衣,435%,4353.0,27
219,汝瓷大师主人杯，工艺美术大师王振芳签名款,320%,32000.0,39
220,IAA小白香氛机联合天猫精灵款,169%,8479.0,61
221,全铝合金平板支架 小巧便携 稳固不晃,113%,11376.0,144
222,折叠按摩足浴器 恒温按摩 释放腿部压力,113%,11392.0,89
223,毛球修剪器  剃球/ 粘毛/不伤衣物,104%,10416.0,217
224,银离子抗菌漱口杯给您健康的漱口体验,532%,53255.2,2248
225,坦克小希好用混合猫砂6.5L*4买1送1,448%,44842.6,374
226,电动鼻毛修剪器，精致理容，一次剃净,126%,12645.0,119
227,宜兴匠心紫砂壶●会升值的【刻绘龙蛋壶】,656%,6567.0,33
228,广昀星全球首发 智能血压手表 真气囊检测,134%,26991.0,9
229,CIROCCO植物学系列产品,101%,304390.0,610
230,藏壶天下·顾景舟匏尊壶经典复刻,367%,36720.0,54
231,酱香肘花卤味熟食酱香猪肘,183%,18358.2,558
232,阿图生泰宝植物空气净化器  原生态的净化,102%,51006.0,37
233,新创健PCO塔式杀菌风扇 光催化杀菌,1006%,503306.0,392
234,翰林阅背书宝 让背书变得更简单,421%,84372.0,534
235,潮萌时代 真无线蓝牙耳机,109%,10920.0,65
236,多功能家庭证件包【整洁收纳·结实耐用】,116%,11613.0,147
237,磁吸夜灯加湿器 加湿夜灯 一物两用,124%,12403.0,157
238,宜兴匠心紫砂壶●会升值的【玉兰西施】,209%,2093.0,7
239,蜂王食物-新鲜蜂王浆蜂皇浆蜂乳,183%,18300.0,110
240,变频杀菌超声波清洗机  高频除污无损清洗,105%,10584.0,56
241,Dr GUO护颈围  资深医学博士设计,408%,204273.0,1609
242,LED可视冲牙器 看得见的洁净,404%,202091.0,909
243,即是充电器，又是充电宝，还自带数据线,141%,14177.0,113
244,男士斜挎包，百搭不挑人，高效出行,126%,12672.0,128
245,爆胶猪蹄网红即食熟食卤猪蹄子,184%,18401.9,401
246,远程多功能 生命体征监测腕表,112%,22485.0,15
247,赛博塔 汽车自动遮阳系统 为您保驾护航,1015%,203048.0,68
248,少女喵系蓝牙耳机 音乐｜通话｜游戏｜续航,105%,10502.0,59
249,一款可以杀菌的直播美容补光灯 你见过吗？,404%,202200.0,430
250,一款可以深度按摩肩颈的脖挂式蓝牙耳机,2025%,1012542.0,1168
251,睡眠密码—复合活性益生菌 给你自然好睡眠,2515%,503169.0,1276
252,手机家具：卧椅【护颈椎、健视力、卧瑜伽】,122%,12223.0,247
253,直播、短视频支架，无线折叠，360度拍摄,150%,15040.0,80
254,白云山草本瑶方卫生巾 用心呵护你的那几天,211%,105673.8,1262
255,一款无压护眼的3D微视孔蒸汽眼罩,103%,51858.0,496
256,专为小学生打造的吸汗防臭袜-穿上即除臭,2010%,1005380.0,5714
257,荣支健模拟指压按摩枕—国货助眠黑科技,608%,304320.0,452
258,我们益加养生美容按摩仪  给你专业级养护,209%,104904.0,44
259,萌鸭手机无线充触控台灯  打开无线新生活,107%,10764.0,78
260,免插电冰盘神器家用炒冰机  随心制作美味,120%,12093.0,87
261,福鼎高山花香白牡丹白茶,113%,11309.0,71
262,青海柴达木大果黑枸杞-含花青素,110%,11023.0,77
263,奥迪双钻x红小豆 叠叠乐2大新品系列众筹,147%,29510.0,309
264,抑菌抗病毒口罩杀灭细菌病毒预防二次传播,174%,17403.0,358
265,智能儿童矫正器 告别驼背 矫正体态更轻松,118%,11837.0,133
266,明星大侦探官方合作解谜书《M大侦探》,1297%,648746.0,5177
267,随行咖啡杯，元气畅饮颜值爆表,102%,10270.0,130
268,轻型喷雾消毒枪 畅享美好生活好空气不将就,118%,11850.0,150
269,桌面萌物，极地物种浴缸泡澡加湿器,100%,10065.0,145
270,多场景感应灯【卧室·橱柜·衣柜·冰箱】,119%,11996.0,107
271,折叠升降桌面支架，手机·平板·学习机通用,140%,14014.0,143
272,电动红酒开瓶器，开瓶倒酒存酒一套满足,105%,10567.0,89
273,EraClean冰箱除味神器天猫精灵联名,107%,5370.0,30
274,线韵茅台镇53%酱香坤沙老酒 酱香浓郁,3029%,302961.0,187
275,浪番智能按摩花洒搓澡  缓解疲劳快乐洗澡,105%,52718.0,153
276,摩飞智能按摩颈枕 深度释压 轻享自由按摩,108%,10892.0,28
277,智能4合1 多功能磁吸无线充,101%,10112.0,64
278,负离子直发梳，一梳即顺，3分钟快速造型,117%,11772.0,108
279,「天然棉 清凉感」天然棉莫代尔健康T恤,125%,6261.0,49
280,波特嘉起泡葡萄酒 趣生活 有点甜,107%,21431.0,109
281,如鲸便携式冰鲜电热饭盒  做幸福带饭人,607%,303607.0,863
282,【很下饭】拌饭辣椒酱手工鲜椒酱,155%,15524.5,723
283,安溪清香乌龙茶-品质铁观音,108%,10854.0,63
284,云南古树普洱熟茶八年陈藏经典熟沱,107%,10779.0,61
285,软糯起沙 酸甜可口休闲零食原味山楂条,159%,15992.9,861
286,藏壶天下·程寿珍掇球壶经典复刻,193%,19320.0,14
287,一书一茶，尽品创业思维进阶之旅,106%,10640.0,130
288,英雄联盟 K/DA迷你手办套装,387%,38783.0,177
289,肤可新胶原蛋白肌肤修护套装,101%,101306.0,764
290,蒸爱十三自热即食滋补靓汤 喝一碗好汤,259%,51976.8,595
291,Zi滋润保湿乳液 肌底保湿 逆享透亮,109%,21896.0,92
292,便携式指纹蓝牙钢圈锁 科技让出行更简单,132%,13200.0,100
293,你好火焰蓝 官方 衍生品,109%,10960.0,245
294,影美佳天然乳胶拉力带弹力圈 瑜伽健身,150%,75046.0,993
295,一拉出袋 撕开即用 滚轮式车载垃圾袋,116%,11664.0,128
296,帅巴赫旋转练习器  钢琴开手神器,1006%,503298.0,1326
297,便携式酒精炉  你的泡茶新神器,399%,199706.0,737
298,雨中步童儿童雨衣  开学季为宝宝备件好雨衣,1004%,502081.0,2961
299,多功能四合一宠物剃毛器 温和低音噪 不惊扰爱宠,118%,11823.0,147
300,源自于大凉山的全胚芽苦荞茶,154%,7726.6,110
301,老月饼——真正的月饼味，回忆童年儿时的味,153%,15390.0,240
302,糯香普洱小沱茶，普洱醇厚糯香四溢,107%,10764.0,76
303,杭州桂花九曲红梅红茶,150%,15096.0,84
304,陈皮与白茶的邂逅-陈皮福鼎寿眉白茶,158%,15830.0,90
305,69元3件长白T恤，穿出高级感,145%,14559.0,211
306,自带三合一数据线的充电器,108%,10846.0,187
307,11种功能集于一身，多功能工具钳,141%,14112.0,204
308,笔记本散热支架 双风扇散热 折叠收纳,122%,12282.0,138
309,清迦|消毒除味器 抑菌净味 立体保鲜,104%,20982.0,78
310,亲亲吾衣菱尚摩登系列纯棉家居服,204%,102288.0,243
311,茵玛黑麒麟厨刀系列  国风利刃 麒麟神韵,116%,58170.0,403
312,西屋天猫精灵联合定制破壁机,183%,9177.0,23
313,小宝语音遥控智能开关 科技点亮生活,405%,202598.0,322
314,云南古树浓香型滇红新茶,123%,12340.0,80
315,铜师傅 劲爆新作《关云长》系列作品,2195%,1097552.0,1508
316,通意儿童助教机 36种常用教具集一身,119%,23935.0,93
317,KINEONE专业级颈腰椎牵引器,537%,53710.0,87
318,出门带伞 不再犹豫【它很轻 仅67g鸡蛋重】,535%,107188.0,451
319,智能空气净化光等离子器 真正的呼吸卫士,129%,25861.0,39
320,南丁格尔提灯女神台灯 向抗疫天使致敬,534%,267204.0,734
321,便携式升级高压洗车水枪 大水量高压清洗,100%,10080.0,70
322,BYFORD 头发奇妙补色液 给你点颜色,103%,51606.0,217
323,碧螺春2021明前特级芽茶——一袋一泡装,212%,21214.0,218
324,加拿大LIITON冰川峡谷洋酒杯,345%,34571.0,71
325,庆亭山有机山茶油  原生态的健康好油,117%,23516.0,110
326,宜兴匠心紫砂壶●会升值的【玉兰仿古】,747%,7475.0,25
327,无线便携式电动磨脚器 每一寸奢享俏白嫩足,119%,11900.0,100
328,多功能无线按摩枕【车·家·办公多用】,109%,10944.0,38
329,ZERORAY 大容量自收纳防雨风衣,123%,37019.0,43
330,茉莉草本控油祛痘套盒  和你的痘痘说再见,105%,52566.0,207
331,一款可做手机支架的泰迪熊便携式美妆镜,606%,303059.0,2194
332,泡通通养生茶 清养自在 睛彩世界,112%,22406.0,544
333,可同时兼容矮轴和普通轴的客制化键盘,405%,202822.0,133
334,无线电动打蛋器-家庭好帮手,114%,11446.0,194
335,夏日透气速干冰感短裤,116%,11682.0,198
336,食之鲜智能调料机 还你洁净厨房 美味生活,102%,51060.0,37
337,柔软亲肤舒适无痕 高弹不勒摩范男士内裤,111%,11118.7,142
338,CIROCCO动物学系列产品,104%,314370.0,630
339,全球首发 自动升降泡茶杯 您的生活好物神器,107%,21492.0,108
340,三合一磁吸数据线 单手操作 伸缩收纳,123%,12354.0,213
341,高爷家麦肯鸡全价猫粮1.5kg,3159%,315900.0,4050
342,柑中老班章2021梅江头采小青柑鲜香来袭,278%,27893.2,165
343,多功能智能红外探测器 你的隐私安全保镖,100%,10080.0,60
344,笔记本电脑折叠支架，手机/平板适用,157%,15778.0,161
345,甘甜清香，易武古树生茶小方饼,107%,10774.0,63
346,即食阿胶固元膏手工阿胶糕,119%,11926.0,124
347,藏壶天下·会升值的黄金比例西施壶,414%,41480.0,61
348,移动工具箱·多功能刀钳 居家·户外·车用,115%,11512.0,149
349,美国AIRPLUS除湿器天猫精灵款,203%,10183.0,17
350,智能刀筷砧板消毒机  消毒 烘干 收纳,137%,13776.0,82
351,嚼着吃的真蜂蜜，蜂巢蜜,134%,13420.0,180
352,朝夕康酱香型白酒  茅台镇的康养酒,514%,102852.0,68
353,冻干柠檬片40片——独立包装,107%,10786.4,393
354,倍轻松iseex pro眼部按摩器,241%,12078.0,22
355,精修螺丝刀套装【1套顶48把螺丝刀】,116%,11659.0,131
356,KAKAO FRIENDS萌趣毛绒地垫,109%,21866.0,377
357,孩之宝漫威传奇公仔系列行星吞噬者,159%,15996.0,4
358,玺佳X系列大猩猩ListenUp联名款,4737%,473763.0,237
359,电动旋转  透明地球仪  炫酷,108%,54186.0,333
360,新疆博物馆宝藏款尼勒克黑蜂蜜,116%,1162.0,14
361,2021年新茶，正宗杭州龙井绿茶,106%,10621.0,59
362,珍藏经典八年陈宫廷金芽古树普洱,107%,10701.0,49
363,维尤冷酒炮专属待酒师 整夜享用恒温美酒,2040%,204032.0,420
364,智能便携式无线车载充气泵  速充黑科技,100%,10056.0,52
365,高山野茶，源自海拔800米，浓香馥郁,120%,12020.0,120
366,【优选】茉莉花茶-茶的芬芳遇上茉莉的清香,130%,13027.0,189
367,宜兴匠心紫砂壶●会升值的【泥绘石瓢壶】,119%,1197.0,3
368,三无Marblue音乐专辑《无事发生》,18983%,1898364.0,14311
369,智能雾化喷香机 新式香氛生活,116%,11661.0,169
370,刹车辅助翘头训练器，提高翘头练习的安全性,100%,30180.0,34
371,消毒液生成器 天然杀菌自制便携,119%,11977.0,203
372,同道大叔《同道客栈·入局》6人盒装实体剧本杀*1,169%,16965.0,261
373,时尚情侣高颜值负离子太阳眼镜,102%,10217.0,113
374,碧源纯衣物洗洁粉  植萃无残留杀菌不伤手,129%,64952.0,1263
375,三合一遥控小夜灯 充电/照明/收纳,108%,10806.6,231
376,电动吸尘磨脚器【脚屑边磨边吸】,127%,12716.0,187
377,《济公之降龙降世》联名定制款梅酒,329%,49480.0,208
378,华盛名酒贵族珍藏2017限量绝版陈年老酒,109%,10978.0,22
379,锂电热熔胶笔 全铝一体 15秒出胶,158%,15874.0,96
380,蜜香型凤庆红茶-云南古树滇红宝塔,105%,10549.0,51
381,"《你好,火焰蓝》正版授权棉花娃娃-霍言",156%,78434.0,508
382,厕上智能排风器 智能排风+轻奢浴柜,104%,20990.0,10
383,仙剑月明 赵灵儿中秋月饼礼盒,302%,604892.0,1969
384,细品一杯，高端的茶中香水,164%,16440.0,59
385,花千骨-逆龄抗皱紧致面部礼盒 为爱宠你,2276%,1138270.0,3539
386,智能冰箱除味消毒器 净味寻原鲜,101%,10146.0,114
387,纯料打造十年老普洱，古树茶砖,123%,12340.0,71
388,武夷岩肉桂岩骨花香-大红袍,100%,10074.0,56
389,通力康养—负氧离子抑菌液、净味液,204%,102011.0,887
390,陶博士草本冷敷舒缓眼罩  清凉护眼新体验,452%,226284.0,4227
391,茅台镇酱香型白酒 正宗纯坤沙酒纯粮食酒,135%,27171.0,109
